step_time,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,errorBalanceOrig,errorBalanceDest,amount_to_balance_ratio,seconds_since_last_txn,txn_count_5min,txn_count_60min,is_new_dest,fraud_score,flagged
2026-01-22 16:44:00,TRANSFER,3087.23,acct_0000174,13673.58,10586.35,mule_0246,0.0,3087.23,1,0.0,0.0,0.2257806660728207,341880.0,1.0,1.0,True,0.787830584036543,True
2026-01-14 20:47:00,TRANSFER,119.19,acct_0001779,881.89,762.7,mule_0290,0.0,119.19,1,1.1368683772161605e-13,0.0,0.135152910226899,77700.0,1.0,1.0,True,0.7822700637204555,True
2026-01-11 02:20:00,CASH_OUT,3603.06,acct_0001529,3605.32,2.26,mule_0149,0.0,3603.06,1,0.0,0.0,0.9993731485693363,72600.0,1.0,1.0,True,0.7804950838546731,True
2026-01-09 05:47:00,TRANSFER,203.54,acct_0002153,1083.45,879.91,mule_0373,0.0,203.54,1,0.0,0.0,0.187862845539711,155880.0,1.0,1.0,True,0.7710319514217606,True
2026-01-01 17:19:00,CASH_OUT,111.75,acct_0000777,120.82,9.07,acct_0001029,0.0,111.75,0,0.0,0.0,0.9249296474093692,1000000.0,1.0,1.0,True,0.7607450039819079,True
2026-01-25 04:02:00,CASH_OUT,1280.99,acct_0000273,1402.35,121.36,mule_0037,0.0,1280.99,1,0.0,0.0,0.9134595500410028,3000.0,1.0,2.0,True,0.7541412620686115,True
2026-01-30 04:03:00,TRANSFER,2277.08,acct_0001173,12539.91,10262.83,mule_0008,0.0,2277.08,1,0.0,0.0,0.1815866302070748,7500.0,1.0,1.0,True,0.7515718806063245,True
2026-01-12 07:23:00,CASH_OUT,2125.94,acct_0002037,2494.82,368.88,mule_0080,0.0,2125.94,1,0.0,0.0,0.8521416374728437,117060.0,1.0,1.0,True,0.74956877856447,True
2026-01-28 01:02:00,CASH_OUT,1570.24,acct_0001445,1572.09,1.85,mule_0220,0.0,1570.24,1,0.0,0.0,0.9988232225890376,126600.0,1.0,1.0,True,0.7342198065384288,True
2026-01-22 19:09:00,CASH_OUT,2283.96,acct_0001449,2673.92,389.96,mule_0425,0.0,2283.96,1,0.0,0.0,0.854161680229775,112500.0,1.0,1.0,True,0.7101481751434688,True
2026-01-30 13:48:00,CASH_OUT,25681.83,acct_0001386,25818.16,136.33,mule_0057,0.0,25681.83,1,3.637978807091713e-12,0.0,0.9947196082137536,81780.0,1.0,1.0,True,0.6868097954687667,True
2026-01-23 21:02:00,TRANSFER,3778.94,acct_0000276,15221.37,11442.42,acct_0001076,0.0,3778.94,0,-0.0100000000002182,0.0,0.2482654320865993,114720.0,1.0,1.0,True,0.669215505592764,True
2026-01-12 14:45:00,TRANSFER,2530.64,acct_0002013,20780.04,18249.41,mule_0233,0.0,2530.64,1,0.0099999999983992,0.0,0.1217822487348436,475740.0,1.0,1.0,True,0.65804326195902,True
2026-01-09 22:42:00,CASH_OUT,29499.83,acct_0000145,30596.32,1096.49,mule_0172,0.0,29499.83,1,3.637978807091713e-12,0.0,0.9641626836168532,7080.0,1.0,1.0,True,0.656509440439573,True
2026-01-02 10:07:00,TRANSFER,2888.62,acct_0001374,11760.29,8871.68,mule_0000,0.0,2888.62,1,0.0099999999983992,0.0,0.2456248953044525,1000000.0,1.0,1.0,True,0.6469093957868562,True
2026-01-03 07:36:00,TRANSFER,257.14,acct_0000555,1232.67,975.53,acct_0000515,0.0,257.14,0,0.0,0.0,0.2086040870630419,5220.0,1.0,1.0,True,0.6387878472656041,True
2026-01-22 18:08:00,TRANSFER,3049.34,acct_0000189,19424.12,16374.79,acct_0000094,0.0,3049.34,0,0.0100000000020372,0.0,0.1569872920883932,4140.0,1.0,1.0,True,0.609071913114089,True
2026-01-10 00:31:00,CASH_OUT,1951.83,acct_0000245,2295.5,343.67,mule_0172,0.0,1951.83,1,0.0,0.0,0.8502853408843389,2580.0,1.0,2.0,True,0.6012203664246696,True
2026-01-04 15:30:00,TRANSFER,136.07,acct_0001498,500.0,363.93,mule_0472,0.0,136.07,1,0.0,0.0,0.27214,109680.0,1.0,1.0,True,0.5754021281372641,True
