step_time,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
2026-01-01 00:00:00,PAYMENT,410.85,acct_0001900,13570.57,13159.72,acct_0001302,11937.92,12348.77,0
2026-01-01 00:01:00,PAYMENT,4.51,acct_0000222,19511.66,19507.15,mule_0324,0.0,4.51,1
2026-01-01 00:02:00,CASH_OUT,6953.13,acct_0000740,26693.02,19739.88,acct_0001685,2903.4,9856.54,0
2026-01-01 00:02:00,TRANSFER,2654.26,acct_0002194,8042.9,5388.64,acct_0001330,568.33,3222.59,0
2026-01-01 00:02:06,CASH_OUT,15051.21,acct_0000222,19507.15,4455.94,mule_0324,4.51,15055.72,1
2026-01-01 00:03:00,PAYMENT,12550.87,acct_0001862,12050.87,0.0,acct_0000192,12197.6,24748.47,0
2026-01-01 00:04:00,CASH_IN,15901.79,acct_0001289,29429.51,13527.73,acct_0001599,17321.09,33222.87,0
2026-01-01 00:05:00,PAYMENT,2408.33,acct_0000876,15405.33,12997.0,acct_0000524,11672.83,14081.16,0
2026-01-01 00:06:00,CASH_IN,10211.88,acct_0002112,20111.57,9899.69,acct_0000560,7830.52,18042.4,0
2026-01-01 00:06:00,CASH_OUT,127.96,acct_0000438,0.0,0.0,acct_0001696,5123.07,5251.03,0
2026-01-01 00:08:00,PAYMENT,516.83,acct_0000814,3827.36,3310.53,acct_0000923,3270.69,3787.53,0
2026-01-01 00:08:00,TRANSFER,11488.83,acct_0000717,21370.78,9881.95,acct_0001929,1620.64,13109.47,0
2026-01-01 00:09:00,CASH_OUT,3962.43,acct_0001088,10939.14,6976.71,acct_0001096,2392.74,6355.17,0
2026-01-01 00:10:00,TRANSFER,5527.34,acct_0001085,35884.56,30357.22,acct_0001264,1506.03,7033.37,0
2026-01-01 00:11:00,TRANSFER,1240.2,acct_0000398,4534.99,3294.79,acct_0002111,4067.31,5307.51,0
2026-01-01 00:11:00,CASH_OUT,2945.05,acct_0002486,5950.92,3005.87,acct_0001192,10463.62,13408.67,0
2026-01-01 00:11:00,PAYMENT,319.98,acct_0001920,1569.27,1249.3,acct_0000798,9658.36,9978.34,0
2026-01-01 00:11:00,CASH_OUT,5178.42,acct_0001146,32677.17,27498.76,acct_0001786,7268.62,12447.03,0
2026-01-01 00:13:00,TRANSFER,826.02,acct_0001456,3739.22,2913.2,acct_0001147,20593.53,21419.55,0
2026-01-01 00:15:00,PAYMENT,135.25,acct_0001647,0.0,0.0,acct_0000905,15228.44,15363.69,0
2026-01-01 00:16:00,PAYMENT,4285.82,acct_0001458,14074.31,9788.5,acct_0002090,7503.51,11789.32,0
2026-01-01 00:17:00,PAYMENT,794.48,acct_0002245,2605.23,1810.75,acct_0000826,10228.93,11023.41,0
2026-01-01 00:18:00,CASH_IN,1825.85,acct_0000185,2215.5,389.65,acct_0000496,19808.83,21634.68,0
2026-01-01 00:18:00,PAYMENT,954.88,acct_0002157,5214.48,4259.6,acct_0001159,14747.98,15702.86,0
2026-01-01 00:20:00,PAYMENT,2727.85,acct_0001580,11078.16,8350.31,acct_0001299,6062.47,8790.32,0
2026-01-01 00:21:00,TRANSFER,197.12,acct_0000943,1375.22,1178.1,acct_0002270,0.0,197.12,0
